X,Y,U(C)
0.10101010101010102,0.0,0.0
0.10101010101010102,0.020202020202020204,0.6201237459843373
0.10101010101010102,0.04040404040404041,1.2402724706304302
0.10101010101010102,0.06060606060606061,1.8604711536061778
0.10101010101010102,0.08080808080808081,2.4807447765918074
0.10101010101010102,0.10101010101010102,3.101118324286139
0.10101010101010102,0.12121212121212122,3.7216167854129716
0.10101010101010102,0.14141414141414144,4.342265153727634
0.10101010101010102,0.16161616161616163,4.963088429023735
0.10101010101010102,0.18181818181818182,5.584111618140157
0.10101010101010102,0.20202020202020204,6.205359735968337
0.10101010101010102,0.22222222222222224,6.826857806459869
0.10101010101010102,0.24242424242424243,7.448630863634472
0.10101010101010102,0.26262626262626265,8.07070395258836
0.10101010101010102,0.2828282828282829,8.69310213050307
0.10101010101010102,0.30303030303030304,9.315850467654753
0.10101010101010102,0.32323232323232326,9.93897404842403
0.10101010101010102,0.3434343434343435,10.562497972306373
0.10101010101010102,0.36363636363636365,11.186447354923125
0.10101010101010102,0.38383838383838387,11.810847329033166
0.10101010101010102,0.4040404040404041,12.435723045545249
0.10101010101010102,0.42424242424242425,13.061099674531102
0.10101010101010102,0.4444444444444445,13.687002406239248
0.10101010101010102,0.4646464646464647,14.313456452109724
0.10101010101010102,0.48484848484848486,14.940487045789544
0.10101010101010102,0.5050505050505051,15.568119444149154
0.10101010101010102,0.5252525252525253,16.196378928299758
0.10101010101010102,0.5454545454545455,16.825290804611665
0.10101010101010102,0.5656565656565657,17.45488040573361
0.10101010101010102,0.5858585858585859,18.08517309161317
0.10101010101010102,0.6060606060606061,18.71619425051828
0.10101010101010102,0.6262626262626263,19.347969300059834
0.10101010101010102,0.6464646464646465,19.98052368821555
0.10101010101010102,0.6666666666666667,20.613882894354997
0.10101010101010102,0.686868686868687,21.24807243026592
0.10101010101010102,0.7070707070707072,21.883117841181843
0.10101010101010102,0.7272727272727273,22.519044706811037
0.10101010101010102,0.7474747474747475,23.155878642366897
0.10101010101010102,0.7676767676767677,23.793645299599692
0.10101010101010102,0.787878787878788,24.432370367829844
0.10101010101010102,0.8080808080808082,25.072079574982677
0.10101010101010102,0.8282828282828284,25.712798688624776
0.10101010101010102,0.8484848484848485,26.354553517001865
0.10101010101010102,0.8686868686868687,26.997369910078397
0.10101010101010102,0.888888888888889,27.641273760578766
0.10101010101010102,0.9090909090909092,28.28629100503033
0.10101010101010102,0.9292929292929294,28.93244762480803
0.10101010101010102,0.9494949494949496,29.579769647181045
0.10101010101010102,0.9696969696969697,30.228283146361083
0.10101010101010102,0.98989898989899,30.8780142445527
